County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Polk,231218,1868,807.9,576.4,549.4,604.6
Lampasas,101392,673,663.8,510.4,471.4,552.0
Wheeler,28227,181,641.2,510.1,435.8,594.0
Trinity,72107,585,811.3,500.0,456.5,546.9
Houston,114432,818,714.8,490.5,456.2,527.0
Lamar,247102,1585,641.4,489.8,465.3,515.3
Hall,15704,111,706.8,486.8,393.2,597.6
Gregg,616639,3327,539.5,486.6,469.9,503.7
Henderson,396309,2766,697.9,483.5,464.8,502.9
Jackson,73240,433,591.2,482.7,436.8,532.3
Jasper,177497,1114,627.6,481.8,452.8,512.2
Bell,1659684,6733,405.7,480.8,469.1,492.6
Grayson,621340,3770,606.8,479.5,463.9,495.5
Milam,121449,792,652.1,477.2,443.3,513.2
Wilbarger,65370,383,585.9,475.4,427.3,527.7
Delta,25801,182,705.4,475.4,406.4,554.1
Coryell,382666,1438,375.8,473.4,448.6,499.1
Cherokee,256992,1461,568.5,471.8,447.3,497.2
Kaufman,557910,2617,469.1,469.9,451.6,488.8
Fannin,168063,1054,627.1,467.2,438.7,497.3
Angelina,438193,2336,533.1,466.5,447.5,486.1
Johnson,786936,3947,501.6,465.1,450.4,480.2
Starr,314470,1268,403.2,463.2,437.9,489.6
Hunt,444749,2437,548.0,462.9,444.2,482.1
Hopkins,178460,1016,569.3,462.1,433.3,492.3
Van Zandt,265046,1696,639.9,462.0,439.3,485.6
McCulloch,41011,281,685.2,461.6,406.2,523.3
Sabine,52205,436,835.2,461.2,413.2,514.1
Camp,62955,370,587.7,461.2,414.2,512.3
Potter,608397,2719,446.9,460.9,443.4,478.9
Dawson,66263,325,490.5,459.3,410.0,512.9
Hutchinson,109147,599,548.8,457.9,421.0,497.2
Parker,615830,3277,532.1,454.9,438.9,471.3
Upshur,201167,1183,588.1,454.7,428.4,482.3
Walker,350442,1600,456.6,454.1,431.6,477.4
Cass,150599,972,645.4,453.9,424.5,485.1
Nolan,75070,430,572.8,452.4,409.5,498.8
Montague,96965,620,639.4,451.9,415.2,491.3
Orange,417386,2217,531.2,448.1,429.3,467.5
De Witt,102511,626,610.7,448.1,412.7,485.9
Refugio,36492,228,624.8,447.2,388.3,513.3
Falls,86569,493,569.5,446.9,407.5,489.3
Wichita,658540,3162,480.1,446.7,430.9,462.9
Anderson,289032,1458,504.4,444.9,422.0,468.7
Victoria,454574,2260,497.2,444.7,426.2,463.9
Kleberg,158703,659,415.2,442.1,408.5,477.7
Rains,55400,389,702.2,442.1,395.7,493.0
Chambers,191464,822,429.3,441.0,410.2,473.5
Gray,115314,605,524.6,440.7,405.9,477.8
Marion,51013,375,735.1,440.6,394.3,491.8
Baylor,18021,132,732.5,440.4,364.1,530.4
Clay,51944,327,629.5,440.2,391.7,493.8
Knox,18784,115,612.2,440.0,360.5,533.2
Freestone,98081,581,592.4,439.3,403.4,477.9
Hamilton,40918,292,713.6,439.1,386.6,497.6
Aransas,122049,910,745.6,438.5,408.0,471.1
Smith,1098365,5595,509.4,437.9,426.3,449.7
Limestone,117516,670,570.1,437.8,404.3,473.5
Hill,174773,1065,609.4,437.7,410.6,466.2
Tarrant,9746298,39210,402.3,437.5,433.0,442.0
Calhoun,108938,571,524.1,437.4,401.4,475.8
Taylor,674659,3101,459.6,436.4,420.9,452.3
Ellis,800550,3504,437.7,435.8,421.1,451.0
Rusk,266073,1387,521.3,435.6,412.5,459.7
Dallam,35873,134,373.5,435.0,362.6,517.1
Hardin,277942,1437,517.0,434.8,412.1,458.5
Lee,83572,472,564.8,434.4,395.0,476.8
Sutton,19615,102,520.0,434.1,351.9,530.6
Donley,17501,107,611.4,432.7,347.1,534.3
Navarro,240630,1270,527.8,430.6,406.7,455.5
Matagorda,183422,966,526.6,429.8,402.4,458.7
Mitchell,44727,206,460.6,428.1,370.9,491.6
Wharton,206245,1061,514.4,427.9,401.9,455.1
Wood,214706,1547,720.5,427.9,404.8,452.0
Randall,643303,2977,462.8,427.0,411.5,442.9
Tom Green,579831,2732,471.2,425.6,409.5,442.2
Scurry,86784,411,473.6,424.6,384.0,468.4
Bastrop,391566,1885,481.4,424.4,404.7,444.8
Hood,270973,1842,679.8,424.4,403.9,445.7
Lavaca,98759,625,632.9,423.9,389.1,461.3
Palo Pinto,139832,782,559.2,423.3,393.0,455.5
Colorado,104030,645,620.0,423.1,389.5,459.0
Haskell,29173,179,613.6,422.5,359.2,494.7
Leon,84329,542,642.7,422.4,385.1,462.7
Coke,16083,119,739.9,422.3,343.9,516.5
Harrison,332612,1659,498.8,421.8,401.3,443.2
Stephens,47091,268,569.1,421.7,371.0,477.9
Guadalupe,734372,3231,440.0,421.7,407.1,436.8
Runnels,51389,307,597.4,421.3,373.4,474.1
Newton,71414,400,560.1,421.1,379.3,466.6
Dallas,12597700,47271,375.2,419.7,415.8,423.6
Crosby,29606,149,503.3,419.5,352.1,496.4
San Patricio,332383,1522,457.9,419.3,398.1,441.3
Brown,188639,1060,561.9,419.1,393.4,446.2
Madison,69400,318,458.2,418.4,373.0,467.9
Coleman,42346,283,668.3,418.2,368.1,474.2
Red River,62263,415,666.5,417.7,376.7,462.6
McLennan,1216635,5343,439.2,417.6,406.3,429.2
Young,91126,517,567.4,417.4,380.8,456.8
Goliad,37318,232,621.7,416.8,362.6,477.9
Callahan,67835,407,600.0,416.7,375.7,461.5
Winkler,38678,151,390.4,416.5,351.6,489.8
Wise,310450,1481,477.1,416.0,394.4,438.4
San Augustine,42549,294,691.0,414.9,365.6,470.1
Cooke,194102,1032,531.7,414.9,389.0,442.1
Lubbock,1471061,5785,393.2,414.5,403.7,425.5
Deaf Smith,95226,373,391.7,413.6,372.1,458.3
Eastland,91434,556,608.1,413.1,377.8,451.2
Brazoria,1691951,6734,398.0,413.1,403.0,423.4
Bowie,467279,2280,487.9,412.9,395.8,430.6
Williamson,2450092,9417,384.4,412.2,403.8,420.9
Burleson,87376,521,596.3,411.5,375.4,450.6
Liberty,392100,1723,439.4,409.4,389.7,429.8
Ector,766087,2686,350.6,409.3,393.7,425.4
Rockwall,437991,1766,403.2,409.0,389.7,429.1
San Jacinto,135857,798,587.4,409.0,379.5,440.4
Burnet,221656,1323,596.9,408.7,385.9,432.5
Morris,62888,373,593.1,407.8,365.4,454.2
Franklin,53065,300,565.3,405.7,358.5,457.8
Denton,3778534,12883,340.9,405.4,398.0,413.0
Collin,4437562,16159,364.1,405.2,398.7,411.8
Foard,6315,42,665.1,404.9,280.4,573.7
Armstrong,9570,54,564.3,404.6,296.4,542.3
Garza,32010,123,384.2,404.0,334.5,483.8
Floyd,30260,160,528.8,402.7,341.1,472.9
Midland,781638,2914,372.8,401.5,386.7,416.7
Bosque,89574,570,636.4,400.8,366.4,438.0
Galveston,1571941,6885,438.0,400.7,391.0,410.6
Harris,22237304,77228,347.3,400.1,397.2,403.1
Jefferson,1268031,5603,441.9,399.9,389.3,410.7
Panola,118614,608,512.6,398.4,366.4,432.7
Irion,7871,43,546.3,397.7,282.4,548.6
Bailey,35522,148,416.6,396.3,334.0,466.8
Somervell,42950,223,519.2,396.2,344.6,453.9
Montgomery,2589454,10497,405.4,396.1,388.3,404.0
Erath,202524,823,406.4,395.8,368.7,424.5
Ward,56842,241,424.0,394.4,345.3,448.6
Shelby,128990,619,479.9,393.7,362.7,426.6
El Paso,4164843,15220,365.4,393.6,387.3,400.0
Jones,99738,451,452.2,392.9,357.1,431.4
Andrews,86271,296,343.1,392.6,348.4,440.6
Austin,145191,753,518.6,391.2,362.7,421.5
Howard,181895,757,416.2,391.1,363.3,420.6
Hemphill,20818,87,417.9,390.8,311.7,484.1
Titus,163052,659,404.2,390.6,360.9,422.0
Briscoe,7680,49,638.0,389.9,284.3,529.4
Fayette,124196,769,619.2,389.6,360.6,420.6
Comanche,67595,396,585.8,389.1,349.1,432.7
Caldwell,199067,829,416.4,388.9,362.4,416.9
Castro,39831,172,431.8,388.9,331.6,453.4
Nacogdoches,327297,1297,396.3,388.8,367.4,411.1
Kerr,251770,1656,657.7,388.4,368.1,409.7
Reagan,18440,65,352.5,388.3,298.0,496.8
Comal,619299,3087,498.5,388.1,374.0,402.7
Bexar,9289687,34229,368.5,388.1,383.9,392.3
